,Bi_Grams,Freq
10232,ہونے نے,4
2757,سے پیشتر,4
8350,کیا ہم,4
2387,میں جو,4
1065,کیوں ہے,4
820,مرنے کی,4
1522,کے پردے,4
7426,میں یا,4
3201,دوا پایا,4
2869,تری بزم,4
10096,حریفِ دمِ,4
2764,تالیف نسخہ,4
9300,اے دل,4
3226,تغافل میں,4
6690,سے تو,4
8235,میں کبھی,4
1804,محرم نہیں,4
3438,سے باہر,4
1042,نہیں کوئی,4
2832,عجب آزاد,4
5316,کی کیا,4
1525,بے قرار,4
5322,جاتے ہیں,4
3211,بے اثر,4
536,میں غالبؔ,4
3403,کس کی,4
10227,خدا تھا,4
2830,مغفرت کرے,4
4656,منظور نہیں,4
13590,سکتے ہیں,4
288,دونوں ایک,4
286,اصل میں,4
285,غم اصل,4
282,حیات و,4
8054,گل و,4
1982,ہے بہ,4
2734,دھمکی میں,4
273,تیرا ہی,4
4027,و لالہ,4
2584,ہوا دل,4
2826,خستہ جاں,4
1474,وفا کا,4
1655,کہ مر,4
2792,گرد تھا,4
2823,بے کفن,4
9878,ہے مگر,4
255,آپ ہی,4
2793,تھا جاتی,4
2820,نورد تھا,4
2795,ہے کوئی,4
287,میں دونوں,4
289,ایک ہیں,4
2819,بیاباں نورد,4
290,ہیں موت,4
2739,نبرد تھا,4
2790,گل آگے,4
2791,آگے گرد,4
738,نظر نہیں,4
1479,ہر ذرہ,4
11587,سوز و,4
808,جہاں سے,4
13566,اور ہے,4
1881,کاوش کا,4
1477,پوچھ حال,4
1182,پہ بھی,4
13363,کیفیت ہے,4
298,پائے کیوں,4
297,نجات پائے,4
296,سے نجات,4
2827,جاں کی,4
294,آدمی غم,4
293,پہلے آدمی,4
291,موت سے,4
2796,کوئی کشمکش,4
2800,کی دل,4
2742,نبرد پیشہ,4
2816,زنداں میں,4
5561,ان کے,4
2802,اگر گیا,4
7716,گر کو,4
2803,گیا تو,4
2804,تو وہی,4
763,جانتا ہوں,4
158,کی تمنا,4
2805,وہی دل,4
2806,کا درد,4
2807,درد تھا,4
2808,تھا احباب,4
1578,دل نہ,4
2574,وفا سے,4
9394,کہ اس,4
1273,سے کہ,4
2809,احباب چارہ,4
8481,حالِ دل,4
13102,رنگ و,4
2812,وحشت نہ,4
780,ہوں ورنہ,4
2817,بھی خیال,4
1463,میں جاں,4
760,بات پر,4
4051,کسی کو,4
1212,ہوں ایک,4
7850,کہ بن,4
1215,کی نظر,4
3057,گیا میں,4
2710,بسمل سے,4
8714,وہ اب,4
2818,خیال بیاباں,4
1455,گلیوں میں,4
4294,تھا یاں,4
1454,تھا گلیوں,4
2569,ہوا میں,4
9163,یہ بات,4
3509,یار سے,4
219,آئے کیوں,4
10495,کیا وہ,4
2801,بھی اگر,4
3041,گیا دل,4
2217,قفس میں,4
319,واں وہ,4
4013,کی طلب,4
13084,جہاں اور,4
3138,گیا ہے,4
2753,کھٹکا لگا,4
1827,وقت ہے,4
2774,ابھی فرد,4
2775,فرد فرد,4
